1. Poloniex
1,Ethereum,ETH/BTC,"$ 4,251,710",$ 11.11,65.06 %
2,Synereo,AMP/BTC,"$ 365,533",$ 0.119741,5.59 %
3,Monero,XMR/BTC,"$ 297,631",$ 1.55,4.55 %
4,BitShares,BTS/BTC,"$ 225,689",$ 0.006178,3.45 %
5,Qora,QORA/BTC,"$ 195,987",$ 0.000181,3.00 %
6,MaidSafeCoin,MAID/BTC,"$ 142,409",$ 0.082592,2.18 %
7,Stellar,XLM/BTC,"$ 120,042",$ 0.002298,1.84 %
8,Counterparty,XCP/BTC,"$ 114,288",$ 2.27,1.75 %
9,Factom,FCT/BTC,"$ 93,712",$ 1.66,1.43 %
10,DigiByte,DGB/BTC,"$ 87,935",$ 0.000497,1.35 %
View More
Total,"$ 6,534,627",,
2. Kraken
1,Bitcoin,BTC/EUR,"$ 2,508,630",$ 420.17,43.01 %
2,Ethereum,ETH/BTC,"$ 1,613,140",$ 11.13,27.66 %
3,Ethereum,ETH/EUR,"$ 755,145",$ 11.08,12.95 %
4,Bitcoin,BTC/JPY,"$ 361,217",$ 421.24,6.19 %
5,Bitcoin,BTC/USD,"$ 252,808",$ 420.33,4.33 %
6,Ethereum,ETH/USD,"$ 223,523",$ 11.10,3.83 %
7,Bitcoin,BTC/CAD,"$ 54,292",$ 420.27,0.93 %
8,Ripple,XRP/BTC,"$ 30,467",$ 0.007378,0.52 %
9,Litecoin,LTC/EUR,"$ 11,945",$ 3.23,0.20 %
10,Ethereum,ETH/CAD,"$ 9,759",$ 11.09,0.17 %
View More
Total,"$ 5,832,077",,
3. Gatecoin
1,Ethereum,ETH/BTC,"$ 1,990,650",$ 11.16,40.91 %
2,Bitcoin,BTC/EUR,"$ 1,418,870",$ 422.11,29.16 %
3,Bitcoin,BTC/HKD,"$ 738,939",$ 418.56,15.19 %
4,Bitcoin,BTC/USD,"$ 610,051",$ 417.99,12.54 %
5,Ethereum,ETH/EUR,"$ 72,792",$ 11.16,1.50 %
6,Augur,REP/BTC,"$ 34,258",$ 9.02,0.70 %
Total,"$ 4,865,560",,
4. BTCBOX
1,Bitcoin,BTC/JPY,"$ 3,078,090",$ 424.26,100.00 %
5. Bitfinex
1,Bitcoin,BTC/USD,"$ 2,127,640",$ 420.02,70.72 %
2,Tether,USDT/USD,"$ 430,254",$ 1.00,14.30 %
3,Ethereum,ETH/BTC,"$ 296,587",$ 11.09,9.86 %
4,Ethereum,ETH/USD,"$ 121,081",$ 11.09,4.02 %
5,Litecoin,LTC/USD,"$ 23,210",$ 3.23,0.77 %
6,Litecoin,LTC/BTC,"$ 9,858",$ 3.25,0.33 %
Total,"$ 3,008,630",,
6. bitFlyer
1,Bitcoin,BTC/JPY,"$ 2,930,860",$ 424.61,100.00 %
7. BTC-E
1,Bitcoin,BTC/USD,"$ 2,442,030",$ 417.00,88.17 %
2,Bitcoin,BTC/RUR,"$ 229,622",$ 402.51,8.29 %
3,Litecoin,LTC/BTC,"$ 49,090",$ 3.26,1.77 %
4,Litecoin,LTC/USD,"$ 20,954",$ 3.21,0.76 %
5,Peercoin,PPC/BTC,"$ 8,151",$ 0.458752,0.29 %
6,Litecoin,LTC/RUR,"$ 5,801",$ 3.09,0.21 %
7,Litecoin,LTC/EUR,"$ 4,289",$ 3.26,0.15 %
8,Namecoin,NMC/BTC,"$ 3,809",$ 0.450334,0.14 %
9,Novacoin,NVC/USD,"$ 2,057",$ 0.805000,0.07 %
10,Peercoin,PPC/USD,"$ 1,883",$ 0.453000,0.07 %
View More
Total,"$ 2,769,641",,
8. Coinbase Exchange
1,Bitcoin,BTC/USD,"$ 2,296,670",$ 419.48,100.00 %
9. OkCoin Intl.
1,Bitcoin,BTC/USD,"$ 2,007,950",$ 418.86,96.97 %
2,Litecoin,LTC/USD,"$ 62,674",$ 3.24,3.03 %
Total,"$ 2,070,624",,
10. CEX.IO
1,Bitcoin,BTC/USD,"$ 1,465,060",$ 423.30,83.12 %
2,Bitcoin,BTC/EUR,"$ 296,165",$ 422.78,16.80 %
3,Litecoin,LTC/BTC,$ 561,$ 3.25,0.03 %
4,Litecoin,LTC/EUR,$ 558,$ 3.30,0.03 %
5,Litecoin,LTC/USD,$ 220,$ 3.29,0.01 %
Total,"$ 1,762,564",,
11. itBit
1,Bitcoin,BTC/USD,"$ 1,354,210",$ 419.08,77.16 %
2,Bitcoin,BTC/EUR,"$ 400,784",$ 419.06,22.84 %
Total,"$ 1,754,994",,
12. Bitstamp
1,Bitcoin,BTC/USD,"$ 1,466,360",$ 418.30,100.00 %
13. BTER
1,TBCoin,TBC/BTC,"$ 419,277",$ 3.25,38.86 %
2,Bitcoin,BTC/CNY,"$ 331,128",$ 419.76,30.69 %
